time,m1,m2,m3,m4
1385095170.47589,38133,38518,37671,37678
1385095170.498137,38085,38313,37667,37935
1385095170.511463,38246,38193,37642,37919
1385095170.530629,38252,38183,37886,37679
1385095170.549787,38250,38105,38002,37643
1385095170.568467,38256,37721,38234,37789
1385095170.587328,38205,37965,38521,37309
1385095170.602128,38008,38401,38182,37409
1385095170.622936,37789,38206,37887,38118
1385095170.641295,38412,38245,37342,38001
1385095170.65551,38268,37676,38112,37944
1385095170.675049,38173,38209,37213,38405
1385095170.694139,37880,38110,37894,38116
1385095170.712674,38638,37839,37668,37855
1385095170.730995,37925,37924,38337,37814
1385095170.746854,37798,38684,38118,37400
1385095170.766111,38365,38438,37645,37552
1385095170.784536,38626,37816,37494,38064
1385095170.795391,38588,37555,37326,38531
1385095170.824588,38219,38447,37183,38151
1385095170.855643,38612,37559,36740,39089
1385095170.884851,38236,37066,37796,38902
1385095170.915228,37334,38466,38134,38066
1385095170.944431,38507,37225,38569,37699
1385095170.973717,38916,37066,38284,37734
1385095171.003569,36722,35408,41384,38486
1385095171.037703,37417,33566,42841,38176
1385095171.063472,38407,33908,43123,36562
1385095171.093647,39468,33751,42728,36053
1385095171.124511,41278,33219,40990,36513
1385095171.154793,43472,33523,40190,34815
1385095171.184988,41075,33852,42409,34664
1385095171.216425,40327,34121,44057,33495
1385095171.246622,41600,32128,42916,35356
1385095171.277342,40409,33757,44769,33065
1385095171.304279,43078,31814,41884,35224
1385095171.334198,42811,31714,42929,34546
1385095171.366078,43507,32377,42341,33775
1385095171.394792,41613,31961,43937,34489
1385095171.425212,42818,32743,43188,33251
1385095171.457302,42025,32995,44589,32391
1385095171.476364,41696,33630,44036,32638
1385095171.48977,42271,33145,43585,32999
1385095171.51988,43178,31821,43236,33765
1385095171.550647,42675,33001,43695,32629
1385095171.58092,42681,31355,43307,34657
1385095171.595913,38338,31346,47606,34710
1385095171.616094,40539,31767,45491,34203
1385095171.645245,43816,32249,42526,33409
1385095171.674502,45685,32003,40121,34191
1385095171.703648,46549,30702,38967,35782
1385095171.738071,43180,32222,42734,33864
1385095171.795364,39254,34581,46992,31173
1385095171.826655,39498,34140,46086,32276
1385095171.857755,41379,34226,45253,31142
1385095171.945806,41455,30308,44567,35670
1385095171.975981,40459,30921,46585,34035
1385095171.986893,41761,31553,45367,33319
1385095172.006971,41334,32913,45708,32045
1385095172.036958,41061,33777,45343,31819
1385095172.068311,40936,32460,45310,33294
1385095172.093848,41290,32492,45638,32580
1385095172.108644,41867,31725,45041,33367
1385095172.127869,41499,31549,45593,33359
1385095172.161167,40158,30907,46384,34551
1385095172.190123,39041,31666,46893,34400
1385095172.217192,40308,32248,46224,33220
1385095172.247034,41708,32411,44982,32899
1385095172.277065,41175,32968,45315,32542
1385095172.307663,39318,32729,46588,33365
1385095172.326916,39822,31799,46154,34225
1385095172.338522,38582,32625,47206,33587
1385095172.356878,39092,32433,46990,33485
1385095172.367794,39632,32786,46530,33052
1385095172.386083,38960,32901,47514,32625
1385095172.398386,39554,32621,46794,33031
1385095172.419613,38771,32745,47281,33203
1385095172.450602,39082,32920,46374,33624
1385095172.47972,39317,32342,46427,33914
1385095172.492048,38780,31860,47490,33870
1385095172.50683,39425,31951,47241,33383
1385095172.521839,39077,31685,47939,33299
1385095172.536948,38282,32072,48052,33594
1385095172.555108,38407,32061,48027,33505
1385095172.562792,39047,31725,47351,33877
1385095172.57356,37204,32108,48470,34218
1385095172.603615,47020,31560,38966,34454
1385095172.618302,44798,32003,40992,34207
1385095172.633168,43456,31971,42964,33609
1385095172.648744,38410,33389,48174,32027
1385095172.66372,36568,33469,50182,31781
1385095172.678977,33589,34345,53451,30615
1385095172.690414,30674,35864,56140,29322
1385095172.728714,32533,36653,53305,29509
1385095172.747159,37132,34830,48770,31268
1385095172.758071,39498,34171,46330,32001
1385095172.788219,42476,31625,43738,34161
1385095172.807078,42041,29891,43111,36957
1385095172.818734,41534,29233,43830,37403
1385095172.85018,38946,29187,46802,37065
1385095172.877214,36948,32277,48636,34139
1385095172.938095,38621,38685,46691,28003
1385095172.967461,41191,37432,43261,30116
1385095172.996928,43866,35015,41182,31937
1385095173.03067,41405,31275,42791,36529
1385095173.058588,40291,30117,44819,36773
1385095173.087824,38029,30304,46449,37218
1385095173.117778,39222,32225,45826,34727
1385095173.148855,43170,35490,42046,31294
1385095173.179181,44654,36836,40580,29930
1385095173.209592,47166,34696,37952,32186
1385095173.240699,47459,32217,38893,33431
1385095173.272346,43117,31199,42637,35047
1385095173.298816,40711,30184,45079,36026
1385095173.332237,40746,31007,45354,34893
1385095173.362864,42682,34464,42208,32646
1385095173.392052,46647,35405,38283,31665
1385095173.441325,47531,35475,36511,32483
1385095173.470832,44648,34497,39272,33583
1385095173.500817,39403,31282,44007,37308
1385095173.519527,39809,29811,44781,37599
