time,m1,m2,m3,m4
1385512251.935938,39339,40382,40185,40094
1385512251.956114,39750,40258,39712,40280
1385512251.977392,39785,40480,39495,40240
1385512251.9967,39489,40217,40151,40143
1385512252.011037,39734,39565,40402,40299
1385512252.02981,39786,39438,40614,40162
1385512252.047994,39699,40030,40331,39940
1385512252.067141,40028,39716,39804,40452
1385512252.087142,40425,39558,40105,39912
1385512252.101625,39008,40065,40434,40493
1385512252.120859,39450,40289,40116,40145
1385512252.139036,38862,39826,41016,40296
1385512252.157366,39445,39918,40397,40240
1385512252.175694,39992,39693,39822,40493
1385512252.195026,39746,39553,40118,40583
1385512252.209167,39069,39749,40165,41017
1385512252.229341,39014,39881,40180,40925
1385512252.248445,38932,40033,40270,40765
1385512252.259201,38894,40051,40638,40417
1385512252.277845,38442,40714,41246,39598
1385512252.290319,38075,40709,40887,40329
1385512252.293639,38104,40172,40242,41482
1385512252.305401,39080,38952,39824,42144
1385512252.324331,39923,38510,40565,41002
1385512252.3353,38950,37603,41650,41797
1385512252.365451,40777,36703,41751,40769
1385512252.381116,39765,36412,42879,40944
1385512252.396589,41283,35715,41909,41093
1385512252.416128,40446,37421,43260,38873
1385512252.426996,42378,35935,41336,40351
1385512252.437984,43420,36362,41368,38850
1385512252.456331,44259,36477,40705,38559
1385512252.472136,43597,36387,41717,38299
1385512252.490519,45092,36104,40742,38062
1385512252.50123,42832,36968,42958,37242
1385512252.508636,43582,35553,42076,38789
1385512252.519383,43751,35557,42497,38195
1385512252.53855,43010,36039,43090,37861
1385512252.549322,41945,35127,44495,38433
1385512252.567631,42069,35519,44751,37661
1385512252.579328,40671,36148,45831,37350
1385512252.587158,42369,35086,44473,38072
1385512252.598079,40692,35617,45992,37699
1385512252.609403,42536,35634,44480,37350
1385512252.628048,42966,36349,44004,36681
1385512252.647346,43622,35259,43472,37647
1385512252.658321,43065,35738,44621,36576
1385512252.673215,43288,35739,44156,36817
1385512252.688869,44370,35037,42884,37709
1385512252.703707,44423,35790,43159,36628
1385512252.715421,42934,35618,45056,36392
1385512252.733793,42451,34592,45301,37656
1385512252.745192,43309,35296,44273,37122
1385512252.764173,43230,35461,44810,36499
1385512252.77912,41702,35373,46182,36743
1385512252.808147,43436,35306,44574,36684
1385512252.826472,43562,35750,44520,36168
1385512252.837358,41991,35380,45899,36730
1385512252.850165,44103,34911,44103,36883
1385512252.865806,44533,36172,43923,35372
1385512252.876676,42610,36324,45462,35604
1385512252.884058,44184,35356,43810,36650
1385512252.918385,44365,35753,43983,35899
1385512252.921849,42894,36943,45374,34789
1385512252.936895,44003,36357,44373,35267
1385512252.96665,42734,36179,45830,35257
1385512252.989726,42372,36838,46034,34756
1385512253.000687,43246,35441,45488,35825
1385512253.015548,42647,35542,45835,35976
1385512253.030566,43238,36266,45734,34762
1385512253.049384,43553,27751,45103,43593
1385512253.06441,43258,27108,45768,43866
1385512253.067703,44529,27793,44647,43031
1385512253.076256,43895,29106,45651,41348
1385512253.087645,44873,30767,44295,40065
1385512253.107271,45528,33280,43494,37698
1385512253.124274,45809,36932,42747,34512
1385512253.135556,44833,37610,43977,33580
1385512253.147856,44992,40157,44378,30473
1385512253.158946,46795,40907,42755,29543
1385512253.178408,46092,39342,43372,31194
1385512253.190137,43780,39230,45694,31296
1385512253.208391,42932,38169,46874,32025
1385512253.219216,43911,35398,45589,35102
1385512253.237549,43204,33094,46898,36804
1385512253.252627,41387,32690,48309,37614
1385512253.267743,41469,29176,48147,41208
1385512253.282663,42733,28638,47363,41266
1385512253.29705,42837,29557,47627,39979
1385512253.311985,44259,29042,45913,40786
1385512253.327212,45312,29635,44866,40187
1385512253.345694,45433,31278,44287,39002
1385512253.357497,44553,32111,44993,38343
1385512253.376416,44694,34045,44450,36811
1385512253.387632,44906,33705,44590,36799
1385512253.405906,44335,34573,45335,35757
1385512253.416853,44638,35365,44892,35105
1385512253.435873,44660,34551,45460,35329
1385512253.447029,42992,34765,47200,35043
1385512253.465417,42178,33673,47738,36411
1385512253.480416,44149,31985,46069,37797
1385512253.496863,44153,30575,45773,39499
1385512253.507767,43011,30530,46413,40046
1385512253.528247,44460,28600,45542,41398
1385512253.558184,44201,27789,46393,41617
1385512253.569644,45213,28376,45313,41098
1385512253.572985,44187,28449,46161,41203
1385512253.587905,45106,28951,45520,40423
1385512253.599646,44511,28691,45831,40967
1385512253.617823,44629,29696,45567,40108
1385512253.632925,44894,30897,45062,39147
1385512253.648635,44047,31754,45705,38494
1385512253.659495,45315,31312,44579,38794
1385512253.674431,45344,31612,44276,38768
1385512253.690574,44145,31997,45075,38783
1385512253.704631,44032,31559,45030,39379
1385512253.719724,45335,30979,44213,39473
1385512253.738705,44997,30556,44385,40062
1385512253.750491,44070,29252,45282,41396
1385512253.765324,43442,29275,45608,41675
1385512253.777302,44291,28833,44927,41949
1385512253.796259,43846,29166,45064,41924
1385512253.807098,42827,28802,46015,42356
1385512253.826215,42912,29559,45910,41619
1385512253.856902,44295,29879,45135,40691
1385512253.867916,43789,30220,45379,40612
1385512253.887358,44312,30651,45002,40035
1385512253.898093,45513,30624,44179,39684
1385512253.917247,45990,30347,43564,40099
1385512253.928107,44646,31253,44470,39631
1385512253.93633,46393,30062,43247,40298
1385512253.948083,44457,30480,44375,40688
1385512253.958854,46358,29641,42856,41145
1385512253.984882,46127,28618,42971,42284
1385512253.995694,43532,30001,45130,41337
1385512254.014012,43570,29595,45086,41749
1385512254.025388,44993,28350,43913,42744
1385512254.044754,44069,35970,44829,35132
1385512254.055441,44522,35978,44968,34532
1385512254.073779,44605,35053,44919,35423
1385512254.088655,43095,33956,46171,36778
1385512254.103715,42442,31456,46914,39188
1385512254.114626,44321,29062,45487,41130
1385512254.148165,43843,23911,46073,46173
1385512254.159744,42619,24107,47503,45771
1385512254.178205,43598,22964,46674,46764
1385512254.189785,45156,22031,44680,48133
1385512254.20872,45717,23175,43455,47653
1385512254.220352,45838,24814,43630,45718
1385512254.235613,48125,26129,41197,44549
1385512254.246827,49486,27594,39792,43128
1385512254.265156,50471,29316,37677,42536
1385512254.27668,49020,29382,39468,42130
1385512254.29503,49527,29741,39629,41103
1385512254.306803,47037,30061,41725,41177
1385512254.325738,46023,30433,42291,41253
1385512254.355705,42349,29652,46929,41070
1385512254.366666,40033,29687,49395,40885
1385512254.385184,40510,29082,48602,41806
1385512254.396893,40466,28309,48116,43109
1385512254.415359,41585,28044,47021,43350
1385512254.430539,44123,27346,44845,43686
1385512254.444791,47297,27153,42361,43189
1385512254.459784,46629,27326,42925,43120
1385512254.46367,49467,26877,40209,43447
1385512254.47863,47853,27898,41101,43148
1385512254.489443,49892,27536,38808,43764
1385512254.505138,46939,29138,41535,42388
1385512254.519977,48409,28211,41225,42155
1385512254.538178,45235,36500,44315,33950
1385512254.549011,46213,36307,43879,33601
1385512254.567656,43346,35829,46212,34613
1385512254.578518,41897,35452,47913,34738
1385512254.596835,41798,31877,48284,38041
1385512254.60782,39930,31664,49360,39046
1385512254.627297,40566,28210,48990,42234
1385512254.656698,44227,23408,45657,46708
1385512254.668294,44350,22883,45104,47663
1385512254.67575,45631,22778,44397,47194
1385512254.687715,46083,23045,43603,47269
1385512254.698374,46901,23946,43299,45854
1385512254.716448,48344,26703,42300,42653
1385512254.731712,48860,28152,41646,41342
1385512254.746518,48498,31581,41048,38873
1385512254.76156,49967,32719,39659,37655
1385512254.79154,48158,35688,42278,33876
1385512254.806473,46316,35852,43764,34068
