time,m1,m2,m3,m4
1385512275.748902,38866,40711,39808,40615
1385512275.763659,38660,40851,40038,40451
1385512275.782659,38774,40447,40822,39957
1385512275.801893,39182,40132,40486,40200
1385512275.82011,39231,40200,40109,40460
1385512275.83859,39074,39975,40584,40367
1385512275.856982,38921,40010,41043,40026
1385512275.876214,39328,40307,40596,39769
1385512275.895328,39314,40186,40890,39610
1385512275.909463,39159,40479,40883,39479
1385512275.92805,39540,40209,40394,39857
1385512275.947066,39422,40226,40144,40208
1385512275.966299,38995,40213,40591,40201
1385512275.984934,39258,40199,40366,40177
1385512275.99911,39075,39865,41401,39659
1385512276.01819,39017,40033,41831,39119
1385512276.036502,39233,40219,41519,39029
1385512276.054959,39225,40482,41131,39162
1385512276.065799,38948,40968,40712,39372
1385512276.080806,38790,41425,40458,39327
1385512276.095892,38232,41863,40368,39537
1385512276.110924,38023,41371,40577,40029
1385512276.126248,39360,40709,39988,39943
1385512276.141464,39724,40269,39536,40471
1385512276.145488,39492,39658,39818,41032
1385512276.156365,38354,40494,40426,40726
1385512276.16803,36542,42137,40976,40345
1385512276.187239,38050,38451,40568,42931
1385512276.19805,36815,39670,42733,40782
1385512276.217237,36773,37694,42473,43060
1385512276.228844,39361,37420,41459,41760
1385512276.248011,38369,36353,42635,42643
1385512276.259781,41177,36580,40791,41452
1385512276.278027,40618,35914,41996,41472
1385512276.289628,43025,35982,40339,40654
1385512276.308403,41994,36920,41744,39342
1385512276.320147,43495,36426,40953,39126
1385512276.339604,43314,37321,41868,37497
1385512276.350529,42960,37713,42226,37101
1385512276.353923,41925,36454,43233,38388
1385512276.365682,43299,36614,42425,37662
1385512276.380762,42428,37579,44006,35987
1385512276.399165,42995,35616,43773,37616
1385512276.413494,42833,36659,44023,36485
1385512276.425172,41611,36016,45763,36610
1385512276.440191,42727,34645,44355,38273
1385512276.456088,42813,34957,44811,37419
1385512276.487291,43278,34325,44482,37915
1385512276.498008,43452,33668,44564,38316
1385512276.517038,43966,33958,44832,37244
1385512276.527658,44104,34739,44614,36543
1385512276.546727,44434,33925,44070,37571
1385512276.55743,44380,33525,44348,37747
1385512276.576569,44036,35277,44920,35767
1385512276.587201,44397,35644,44839,35120
1385512276.606278,44320,34974,44646,36060
1385512276.636507,43244,36209,46076,34471
1385512276.647738,44332,36005,45338,34325
1385512276.655085,42921,35644,46469,34966
