time,m1,m2,m3,m4
1385095132.384223,37241,38058,39013,37688
1385095132.40647,37325,38202,38987,37486
1385095132.426023,37410,37912,38844,37834
1385095132.441433,37174,38404,38744,37678
1385095132.460754,37046,38130,38888,37936
1385095132.479235,36871,38020,39065,38044
1385095132.497564,36703,38113,39295,37889
1385095132.512751,36905,38047,39401,37647
1385095132.532107,37550,38115,37994,38341
1385095132.550602,37323,37416,39325,37936
1385095132.570902,37217,38149,38095,38539
1385095132.586196,37150,37991,38946,37913
1385095132.604641,37457,37900,38159,38484
1385095132.623281,37202,37660,38336,38802
1385095132.642466,37277,37752,38303,38668
1385095132.656864,37772,37326,38068,38834
1385095132.675329,38352,36921,37916,38811
1385095132.702109,38373,37150,37703,38774
1385095132.712939,38965,37190,37525,38320
1385095132.732595,38750,38259,37644,37347
1385095132.744327,38360,38926,37670,37044
1385095132.7592,37148,37804,38530,38518
1385095132.774107,37306,37446,38684,38564
1385095132.777459,37168,38004,38562,38266
1385095132.79242,36636,38801,38372,38191
1385095132.803755,37248,38323,37424,39005
1385095132.81926,36895,37753,37829,39523
1385095132.830961,35294,38188,38498,40020
1385095132.849268,37174,36846,37874,40106
1385095132.861777,37661,36719,37687,39933
1385095132.869508,36455,35753,38207,41585
1385095132.880297,37298,35694,37282,41726
1385095132.892051,38898,35747,36350,41005
1385095132.910321,38871,34635,36853,41641
1385095132.921346,38874,36326,36748,40052
1385095132.940245,41257,35422,34565,40756
1385095132.952053,39206,36434,36382,39978
1385095132.970329,40228,38027,36800,36945
1385095133.002958,37729,39443,40817,34011
1385095133.014105,38115,39371,40573,33941
1385095133.029399,37477,38576,42857,33090
1385095133.044602,36763,38038,43175,34024
1385095133.059025,37585,36123,44125,34167
1385095133.077388,39917,32926,42253,36904
1385095133.093223,38649,33274,43611,36466
1385095133.104879,41671,32154,41387,36788
1385095133.11911,41323,31509,41485,37683
1385095133.130814,42713,31019,41097,37171
1385095133.149935,43454,31312,40580,36654
1385095133.160832,41455,31941,41995,36609
1385095133.179681,42280,32893,41976,34851
1385095133.195205,43784,33262,40820,34134
1385095133.209245,42239,34444,42141,33176
1385095133.225945,42846,33994,42190,32970
1385095133.244339,43015,33805,42359,32821
1385095133.255194,41056,35575,44248,31121
1385095133.273608,40406,35397,45218,30979
1385095133.288667,40387,33822,45275,32516
1385095133.305398,42235,33221,43613,32931
1385095133.314261,40945,33826,45227,32002
1385095133.332711,40537,32867,45463,33133
1385095133.348847,42334,31233,43742,34691
1385095133.368664,43311,30440,43175,35074
1385095133.379594,41940,31542,44510,34008
1385095133.382876,43382,31045,43368,34205
1385095133.399227,42041,31271,44513,34175
1385095133.413667,42513,30638,43697,35152
1385095133.42682,42812,30662,43594,34932
1385095133.445146,42792,31422,43740,34046
1385095133.456221,43522,31280,42832,34366
1385095133.475305,44351,31384,42765,33500
1385095133.512586,44241,28353,42759,36647
1385095133.523393,42350,30225,44520,34905
1385095133.538716,42257,32505,44009,33229
1385095133.553888,44176,32031,42258,33535
1385095133.572245,44455,33308,41915,32322
1385095133.583512,42953,34738,43259,31050
1385095133.601726,43216,35142,43134,30508
1385095133.612634,44835,35040,42137,29988
1385095133.632168,44755,34761,42851,29633
1385095133.6429,43144,34264,44254,30338
1385095133.661739,41792,33152,44934,32122
1385095133.673363,42685,32253,44037,33025
1385095133.69195,42315,31008,44793,33884
1385095133.703602,41261,30713,46097,33929
1385095133.719256,41208,29704,46026,35062
1385095133.734503,41769,29017,45645,35569
1385095133.753219,41388,28911,45644,36057
1385095133.764994,42452,28801,44384,36363
1385095133.779987,43271,29008,43625,36096
1385095133.791351,42850,29397,44280,35473
1385095133.811136,43775,30246,43377,34602
1385095133.823007,43402,31212,43908,33478
1385095133.842356,43496,31293,44024,33187
1385095133.8534,45230,30595,42500,33675
1385095133.871767,45081,31100,42701,33118
1385095133.882632,42737,32001,44317,32945
1385095133.902691,42539,31395,44695,33371
1385095133.913636,44176,30051,43852,33921
1385095133.932265,42967,30124,44563,34346
1385095133.943225,43166,28677,44280,35877
1385095133.961562,42403,29533,44399,35665
1385095133.972197,42856,29584,43866,35694
1385095133.992355,43746,28786,43500,35968
1385095134.003347,42613,28994,44727,35666
1385095134.022678,42662,29374,44296,35668
1385095134.033558,44699,28511,42601,36189
1385095134.052326,45218,28866,42004,35912
1385095134.062928,43662,29533,43150,35655
1385095134.083601,44101,29078,42749,36072
1385095134.091395,45978,28361,41328,36333
1385095134.114935,45855,28248,41171,36726
1385095134.123789,43612,28974,42820,36594
1385095134.141904,43075,29353,43257,36315
1385095134.153316,44656,28322,41836,37186
1385095134.171728,43682,28701,42640,36977
1385095134.184064,42077,29249,44299,36375
1385095134.203095,41827,28840,44745,36588
1385095134.214055,42082,29683,44084,36151
1385095134.218238,41913,29322,44731,36034
1385095134.233458,41759,30216,44379,35646
1385095134.244232,42228,29172,44488,36112
1385095134.262876,42630,29597,44328,35445
1385095134.273646,42568,29650,44016,35766
1385095134.292166,43092,29001,43702,36205
1385095134.322184,43537,28296,43557,36610
1385095134.333026,43328,28016,43674,36982
1385095134.356157,43074,27870,43476,37580
1385095134.366787,44092,27883,42482,37543
1385095134.385731,43825,28312,42421,37442
1385095134.39758,42595,27707,43599,38099
1385095134.41284,42537,28409,44073,36981
1385095134.428236,43626,28498,42980,36896
1385095134.442516,43682,28703,43434,36181
1385095134.457441,43616,28687,43680,36017
1385095134.47314,44220,28210,43000,36570
1385095134.483984,43428,28733,43196,36643
1385095134.50326,43511,37109,43243,28137
1385095134.522397,43688,34604,43558,30150
1385095134.533375,44347,32356,42573,32724
1385095134.5551,44102,27687,43528,36683
1385095134.567781,44744,24872,43534,38850
1385095134.587063,43880,21491,44402,42227
1385095134.597934,42162,20791,45996,43051
1385095134.618032,41967,19278,45999,44756
1385095134.628867,43432,19574,44534,44460
1385095134.648019,44095,21103,44379,42423
1385095134.658788,43977,21881,44875,41267
1385095134.674275,45409,25508,42487,38596
1385095134.711548,48811,30508,39371,33310
1385095134.72239,47864,31858,39594,32684
1385095134.74139,47629,31967,40831,31573
1385095134.75388,48128,31813,40200,31859
1385095134.77293,46364,30723,41804,33109
1385095134.783657,46627,30348,41337,33688
1385095134.791065,44432,29490,43724,34354
1385095134.803167,42838,28573,44522,36067
1385095134.81408,44576,27419,43528,36477
1385095134.831818,42447,26910,45379,37264
1385095134.846833,43081,26757,45489,36673
1385095134.861958,44907,25861,44039,37193
1385095134.876928,43225,27301,45069,36405
1385095134.891168,44791,27204,43449,36556
1385095134.906462,46388,26933,41642,37037
1385095134.925137,45495,29723,41713,35069
1385095134.936604,47846,28876,40470,34808
1385095134.95083,48117,31137,39677,33069
1385095134.965698,47293,31996,40561,32150
1385095134.984003,47374,31766,40076,32784
1385095134.999296,44615,34120,41791,31474
1385095135.015233,45514,33461,41662,31363
1385095135.018591,42477,34930,44113,30480
1385095135.041745,43918,33076,43284,31722
1385095135.056903,41543,34490,44655,31312
1385095135.060295,43668,32937,43082,32313
1385095135.071682,42233,33802,44461,31504
1385095135.101739,41754,33340,44612,32294
1385095135.120208,42484,32788,44616,32112
1385095135.13092,44826,31379,42596,33199
1385095135.161431,45320,31278,42488,32914
1385095135.191568,42642,32770,43854,32734
1385095135.209766,42320,33753,44220,31707
1385095135.225398,43158,33437,43314,32091
1385095135.237012,42828,34827,43674,30671
1385095135.251302,43520,34897,43344,30239
1385095135.266209,42029,36047,44663,29261
1385095135.269598,44073,35899,43275,28753
1385095135.28469,42293,37029,44779,27899
1385095135.314211,44810,36178,42054,28958
1385095135.325629,42623,36524,43755,29098
1385095135.344861,43199,36280,43845,28676
