time,m1,m2,m3,m4
1385094849.247922,37664,38338,38300,37698
1385094849.264013,37687,38307,38317,37689
1385094849.282961,37663,38378,38355,37604
1385094849.301484,37854,38112,38336,37698
1385094849.319678,37892,38019,38290,37799
1385094849.339461,38027,37966,38327,37680
1385094849.357773,37934,38254,38292,37520
1385094849.37796,37571,38876,37739,37814
1385094849.392183,37694,37887,38498,37921
1385094849.411258,37865,38141,38671,37323
1385094849.430456,37879,38272,37973,37876
1385094849.448858,37384,38335,38724,37557
1385094849.467093,37984,38204,38262,37550
1385094849.485584,38140,38001,38772,37087
1385094849.503834,37785,38179,39587,36449
1385094849.519754,38167,37668,39489,36676
1385094849.538151,38610,37740,39214,36436
1385094849.55679,39046,36800,39254,36900
1385094849.567569,39011,36499,39299,37191
1385094849.586682,40365,35020,38817,37798
1385094849.597823,40592,34880,38762,37766
1385094849.616742,39071,35298,41301,36330
1385094849.627515,41350,33331,40152,37167
1385094849.64639,40860,33270,41096,36774
1385094849.658061,38178,33515,42806,37501
1385094849.676802,42433,29275,40881,39411
1385094849.687581,40482,31196,42328,37994
1385094849.707553,43783,31030,40467,36720
1385094849.718289,41066,33235,42394,35305
1385094849.737532,42139,32975,42495,34391
1385094849.767406,43016,34760,41684,32540
1385094849.778303,44959,33939,39987,33115
1385094849.795876,44241,34248,41189,32322
1385094849.807677,43698,34575,42208,31519
1385094849.826159,43588,32590,42144,33678
1385094849.837776,42444,32127,43290,34139
1385094849.846102,44166,31185,42444,34205
1385094849.857951,41928,32263,44038,33771
1385094849.868716,43342,30453,43342,34863
1385094849.889021,42726,29375,43810,36089
1385094849.899854,41937,30531,44351,35181
1385094849.91822,42547,31371,44413,33669
1385094849.929818,41174,32577,45804,32445
1385094849.948141,40517,33934,45755,31794
1385094849.959836,42619,32505,44077,32799
1385094849.979165,43002,34008,44150,30840
1385094849.98997,44312,34215,42932,30541
1385094850.009,45367,33823,41745,31065
1385094850.020013,43463,33807,43101,31629
1385094850.023406,44978,32010,42394,32618
1385094850.035043,44875,32387,42027,32711
1385094850.053212,44577,31538,42877,33008
1385094850.068931,41870,31969,45270,32891
1385094850.083166,41472,30019,45448,35061
1385094850.098165,41006,30248,46170,34576
1385094850.116371,40222,31367,47142,33269
1385094850.127517,41780,30075,45812,34333
1385094850.145815,41204,30864,46118,33814
1385094850.157548,43116,30948,43690,34246
1385094850.176999,43147,31186,43793,33874
1385094850.187638,44473,31618,42413,33496
1385094850.209659,45370,32339,42202,32089
1385094850.220879,45047,32760,42601,31592
1385094850.240089,45013,32694,42481,31812
1385094850.251085,43217,32851,43939,31993
1385094850.271458,41804,32586,44754,32856
1385094850.283444,42012,31655,44956,33377
